volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.7,11,34,3.51,0.56,9.4,5
0.88,25,67,3.2,0.68,9.8,5
0.76,15,54,3.26,0.65,9.8,5
0.28,17,60,3.16,0.58,9.8,6
0.7,11,34,3.51,0.56,9.4,5
0.66,13,40,3.51,0.56,9.4,5
0.6,15,59,3.3,0.46,9.4,5
0.65,15,21,3.39,0.47,10,7
0.58,9,18,3.36,0.57,9.5,7
0.5,17,102,3.35,0.8,10.5,5
0.58,15,65,3.28,0.54,9.2,5
0.5,17,102,3.35,0.8,10.5,5
0.615,16,59,3.58,0.52,9.9,5
0.61,9,29,3.26,1.56,9.1,5
0.62,52,145,3.16,0.88,9.2,5
0.62,51,148,3.17,0.93,9.2,5
0.28,35,103,3.3,0.75,10.5,7
0.56,16,56,3.11,1.28,9.3,5
0.59,6,29,3.38,0.5,9,4
0.32,17,56,3.04,1.08,9.2,6
0.22,29,60,3.39,0.53,9.4,6
0.39,23,71,3.52,0.65,9.7,5
0.43,10,37,3.17,0.91,9.5,5
0.49,9,67,3.17,0.53,9.4,5
0.4,21,40,3.43,0.63,9.7,6
0.39,11,23,3.34,0.56,9.3,5
0.41,4,11,3.28,0.59,9.5,5
0.43,10,37,3.17,0.91,9.5,5
0.71,14,35,3.47,0.55,9.4,5
0.645,8,16,3.38,0.59,9.8,6
0.675,17,82,3.35,0.54,10.1,5
0.685,22,37,3.46,0.57,10.6,6
0.655,15,113,3.17,0.66,9.8,5
0.605,40,83,3.45,0.52,9.4,6
0.32,13,50,3.38,0.55,9.2,5
0.645,5,18,3.4,0.55,9.6,6
0.6,3,15,3.42,0.6,10.8,6
0.38,13,30,3.23,0.73,9.7,7
1.13,7,19,3.5,0.48,9.8,4
0.45,12,87,3.33,0.83,10.5,5
0.45,12,87,3.33,0.83,10.5,5
0.61,17,46,3.26,0.51,9.3,4
0.49,8,14,3.21,0.9,10.5,6
0.66,9,23,3.3,1.2,10.3,5
0.67,5,11,3.48,0.52,9.5,5
0.52,8,65,3.9,0.56,13.1,4
0.935,22,114,3.25,0.73,9.2,5
0.29,12,37,3.25,0.58,9.5,5
0.4,5,12,3.34,0.56,9.2,5
0.31,12,96,3.32,0.58,9.2,5
0.66,4,23,3.15,0.74,9.2,5
0.52,8,15,3.4,0.63,9.4,6
0.5,6,14,3.39,0.64,9.4,6
0.38,30,119,3.2,0.56,9.4,5
0.51,33,73,3.17,0.63,10.2,6
0.69,20,112,3.21,0.71,9.3,5
0.52,12,35,3.38,0.62,9.5,7
0.735,13,54,3.39,0.57,9.8,5
0.725,4,11,3.41,0.39,10.9,5
0.725,4,11,3.41,0.39,10.9,5
0.52,11,39,3.42,0.58,9.6,5
0.705,6,15,3.44,0.58,10.7,5
0.32,27,65,3.28,0.79,10.7,5
0.705,8,19,3.34,0.95,10.5,6
0.63,15,27,3.32,0.54,9.5,6
0.67,17,96,3.32,0.48,9.5,5
0.69,18,94,3.31,0.48,9.5,5
0.675,11,43,3.31,0.53,9.2,4
0.32,28,83,3.28,0.82,9.6,5
0.41,9,42,3.54,0.66,10.5,5
0.41,9,42,3.54,0.66,10.5,5
0.785,14,30,3.52,0.55,10.7,6
0.75,12,80,3.38,0.52,10.1,5
0.625,27,119,3.16,1.12,9.1,4
0.45,3,15,3.41,0.56,9.2,5
0.43,22,67,3.13,1.28,9.4,5
0.5,21,73,3.36,0.57,9.1,5
0.67,16,51,3.16,1.14,9.4,5
0.3,18,61,3.44,0.78,10.3,6
0.55,19,40,3.41,0.59,10.1,5
0.49,20,136,2.93,1.95,9.9,6
0.49,9,31,3.39,0.64,9.6,5
0.39,34,125,3.14,1.22,9.5,5
0.62,8,24,3.48,0.53,9,5
0.52,42,140,3.23,0.54,9.5,5
0.49,20,136,2.93,1.95,9.9,6
0.49,19,133,2.93,1.98,9.8,5
0.49,9,31,3.39,0.64,9.6,5
1.02,41,85,3.75,0.48,10.5,4
0.6,17,106,3.85,0.6,12.9,6
0.775,8,23,3.45,0.56,10.7,5
0.5,3,22,3.25,0.63,9.2,5
0.9,5,10,3.39,0.56,9.8,5
0.545,13,35,3.3,0.59,9,6
0.61,11,50,3.4,0.61,10.2,6
0.5,8,22,3.31,0.56,10.4,6
0.545,13,35,3.3,0.59,9,6
0.575,12,65,3.29,0.51,9.2,5
0.49,5,36,3.33,0.48,9.4,5
0.575,12,65,3.29,0.51,9.2,5
0.41,18,69,3.08,1.31,9.3,5
0.63,15,64,3.46,0.79,9.3,5
0.33,18,80,3.37,0.8,9.6,6
0.785,37,153,3.21,0.69,9.3,5
0.56,12,47,3.19,0.93,9.5,5
0.62,11,108,3.15,0.66,9.8,5
0.6,14,111,3.15,0.66,9.8,5
0.31,22,46,3.32,0.67,9.7,6
0.56,12,47,3.19,0.93,9.5,5
0.4,13,62,3.07,0.63,10.5,6
0.54,11,40,3.39,0.61,10,6
0.56,7,28,3.37,0.5,9.4,6
0.55,14,56,3.21,0.6,10.9,6
0.69,22,89,3.34,0.54,9.2,6
