volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.49,14.0,25.0,3.35,0.63,12.0,6.0
0.43,10.0,48.0,3.34,0.46,9.4,5.0
0.46,32.0,58.0,3.33,0.54,9.8,5.0
0.39,14.0,27.0,3.06,0.84,11.4,6.0
0.12,10.0,21.0,3.41,0.76,11.9,7.0
0.63,51.0,77.5,3.2,0.45,9.5,5.0
0.55,15.0,34.0,3.49,0.68,10.5,5.0
0.35,46.0,102.0,3.27,0.58,9.5,5.0
0.45,21.0,75.0,3.35,0.57,9.7,5.0
0.685,6.0,31.0,3.19,0.7,10.1,6.0
0.33,6.0,9.0,3.1,0.48,10.4,6.0
0.76,18.0,64.0,2.9,1.33,9.1,6.0
0.44,22.0,53.0,3.32,0.62,9.3,5.0
0.38,30.0,119.0,3.2,0.56,9.4,5.0
0.96,5.0,16.0,3.5,0.44,11.9,6.0
0.18,15.0,58.0,3.37,0.78,11.8,6.0
0.715,7.0,62.0,3.62,0.61,11.0,5.0
0.32,12.0,19.0,3.14,0.71,11.8,7.0
0.62,27.0,90.0,3.16,0.7,9.4,5.0
0.66,21.0,31.0,3.45,0.63,10.3,5.0
0.46,18.0,77.0,3.15,0.51,9.4,5.0
0.68,15.0,29.0,3.41,0.52,11.1,4.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.56,7.0,28.0,3.37,0.5,9.4,6.0
0.58,9.0,104.0,3.23,0.57,9.7,5.0
0.43,14.0,23.0,3.35,0.61,11.3,6.0
0.52,13.0,26.0,3.4,0.72,12.5,7.0
0.18,36.0,109.0,2.89,0.44,12.7,6.0
0.52,13.0,38.0,3.34,0.52,9.3,5.0
0.12,10.0,21.0,3.41,0.76,11.9,7.0
0.38,10.0,41.0,3.17,0.68,9.8,6.0
0.38,13.0,30.0,3.23,0.73,9.7,7.0
0.24,3.0,10.0,3.12,0.59,9.5,6.0
0.48,13.0,32.0,3.28,0.56,10.0,6.0
0.54,8.0,17.0,3.2,0.72,13.1,8.0
0.685,20.0,84.0,3.21,0.61,9.3,5.0
0.38,5.0,13.0,3.15,0.75,10.5,6.0
0.54,5.0,13.0,3.72,0.58,11.4,5.0
0.28,5.0,19.0,3.25,0.63,9.5,5.0
0.43,27.0,51.0,3.49,0.64,10.4,5.0
0.49,13.0,50.0,3.16,0.69,9.2,6.0
0.69,19.0,27.0,3.44,0.67,9.8,5.0
0.59,34.0,53.0,3.41,0.67,9.7,5.0
0.66,16.0,53.0,3.06,0.72,11.0,6.0
0.6,28.0,71.0,3.5,0.57,9.7,5.0
0.59,13.0,49.0,3.18,0.65,11.0,6.0
0.51,4.0,9.0,3.35,0.54,10.5,5.0
0.39,17.0,35.0,3.1,0.61,10.8,6.0
0.735,10.0,41.0,3.24,0.71,9.8,6.0
0.47,24.0,125.0,3.31,0.61,9.4,5.0
0.47,7.0,14.0,3.4,0.58,10.9,4.0
0.63,15.0,64.0,3.46,0.79,9.3,5.0
0.38,15.0,25.0,3.44,0.65,11.1,6.0
0.6,24.0,37.0,3.4,0.61,10.9,6.0
0.6,31.0,131.0,3.21,0.52,9.9,5.0
0.35,20.0,88.0,3.15,0.43,9.4,5.0
0.4,17.0,29.0,3.12,0.65,11.2,6.0
0.56,16.0,44.0,3.13,0.52,11.0,5.0
0.48,29.0,61.0,3.34,0.6,10.4,5.0
0.57,26.0,120.0,3.29,0.53,9.3,5.0
0.36,10.0,41.0,3.23,0.66,12.5,6.0
0.3,37.5,278.0,3.01,0.51,12.3,7.0
0.5,15.0,143.0,3.2,0.55,9.5,5.0
0.31,22.0,46.0,3.32,0.67,9.7,6.0
0.31,11.0,25.0,3.36,0.76,10.1,6.0
0.31,15.0,28.0,3.42,0.7,10.0,7.0
0.6,20.0,110.0,3.3,1.17,10.2,5.0
0.685,3.0,12.0,3.31,0.65,9.55,6.0
0.6,7.0,13.0,3.38,0.56,10.8,5.0
0.66,6.0,13.0,3.43,0.58,9.5,5.0
0.27,28.0,46.0,3.2,0.8,10.2,6.0
0.44,15.0,38.0,3.01,1.1,9.4,5.0
0.59,20.0,47.0,3.26,0.67,9.6,5.0
0.67,10.0,24.0,3.42,0.72,11.1,6.0
0.78,12.0,66.0,3.0,1.17,9.2,5.0
0.82,26.0,96.0,3.36,0.53,10.0,5.0
0.36,3.0,8.0,3.2,0.53,11.9,6.0
0.58,34.0,44.0,3.1,0.43,9.3,5.0
0.4,5.0,12.0,3.34,0.56,9.2,5.0
0.795,28.0,52.0,3.49,0.52,11.6,5.0
0.38,12.0,42.0,3.16,0.61,10.3,5.0
