volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.66,16.0,86.0,3.53,0.57,9.7,5.0
0.43,27.0,51.0,3.49,0.64,10.4,5.0
0.63,29.0,65.0,3.28,0.58,9.6,5.0
0.69,15.0,27.0,3.26,0.61,9.1,5.0
0.49,20.0,136.0,2.93,1.95,9.9,6.0
0.39,18.0,39.0,3.29,0.81,10.9,7.0
0.49,28.0,87.0,3.5,0.82,14.0,8.0
0.72,24.0,52.0,3.35,0.94,10.0,5.0
0.575,12.0,65.0,3.29,0.51,9.2,5.0
0.53,4.0,12.0,3.26,0.86,9.2,5.0
0.49,13.0,50.0,3.16,0.69,9.2,6.0
0.41,9.0,42.0,3.54,0.66,10.5,5.0
0.58,3.0,13.0,3.62,0.62,11.5,4.0
0.54,25.0,52.0,3.2,0.71,11.4,6.0
0.55,17.0,42.0,3.37,0.48,9.0,4.0
0.66,21.0,31.0,3.45,0.63,10.3,5.0
0.26,11.0,27.0,3.21,0.8,9.4,6.0
0.49,27.0,85.0,3.41,0.58,9.0,5.0
0.4,11.0,43.0,3.53,0.61,10.5,6.0
0.705,6.0,15.0,3.44,0.58,10.7,5.0
0.31,10.0,39.0,3.4,0.69,11.8,5.0
0.66,34.0,102.0,3.27,0.78,12.8,6.0
0.19,18.0,30.0,3.29,0.69,11.2,6.0
0.635,16.0,86.0,3.51,0.54,9.7,5.0
0.59,24.0,94.0,3.55,0.53,9.7,6.0
0.41,9.0,42.0,3.54,0.66,10.5,5.0
0.18,15.0,58.0,3.37,0.78,11.8,6.0
0.56,9.0,39.0,3.48,0.62,9.3,5.0
0.5,10.0,23.0,3.53,0.61,10.4,5.0
0.785,37.0,153.0,3.21,0.69,9.3,5.0
0.57,26.0,120.0,3.29,0.53,9.3,5.0
0.545,11.0,35.0,3.34,0.61,11.6,6.0
0.34,3.0,7.0,3.19,0.55,11.4,7.0
0.37,12.0,19.0,3.17,0.81,11.2,7.0
0.35,6.0,11.0,3.23,0.52,12.0,6.0
0.66,16.0,53.0,3.06,0.72,11.0,6.0
0.46,19.0,98.0,3.32,0.63,9.5,6.0
0.745,16.0,63.0,3.19,0.82,9.6,5.0
0.51,12.0,28.0,3.52,0.73,9.5,6.0
0.32,35.0,67.0,3.32,0.92,10.8,7.0
0.26,20.0,49.0,3.13,0.54,9.6,5.0
0.685,40.0,63.0,3.6,0.81,9.9,5.0
0.54,7.0,31.0,3.27,0.6,9.3,6.0
0.54,12.0,78.0,3.39,0.71,11.0,5.0
0.5,6.0,17.0,3.27,0.77,10.8,6.0
0.7,11.0,34.0,3.51,0.56,9.4,5.0
0.32,3.0,15.0,3.2,0.78,9.6,5.0
0.63,11.0,37.0,3.43,0.76,9.7,6.0
0.47,27.0,66.0,3.17,0.76,10.8,6.0
0.59,32.0,71.0,3.31,0.71,9.8,5.0
0.61,10.0,42.0,3.19,0.59,9.5,5.0
0.4,7.0,16.0,3.21,0.69,12.5,8.0
0.6,16.0,34.0,3.47,0.7,9.9,6.0
0.785,19.0,98.0,3.16,0.52,9.6,6.0
0.46,28.0,54.0,3.37,0.64,10.4,6.0
0.44,5.0,15.0,3.21,0.67,10.2,6.0
0.27,5.0,10.0,3.25,1.08,9.9,7.0
0.725,11.0,41.0,3.36,0.55,9.1,5.0
0.37,12.0,51.0,3.29,0.58,11.1,6.0
0.79,11.0,17.0,3.53,0.65,10.4,6.0
0.41,6.0,23.0,3.3,0.58,11.2,5.0
0.66,4.0,23.0,3.15,0.74,9.2,5.0
0.32,17.0,44.0,3.28,0.77,11.5,6.0
0.59,24.0,94.0,3.55,0.53,9.7,6.0
0.6,10.0,41.0,3.15,0.63,10.5,6.0
0.82,26.0,96.0,3.36,0.53,10.0,5.0
0.34,43.0,113.0,3.32,0.79,11.1,5.0
