volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.4,6.0,20.0,3.28,0.57,12.5,6.0
0.61,11.0,65.0,3.54,0.58,9.3,5.0
0.36,22.0,71.0,2.98,0.84,14.9,5.0
0.74,5.0,10.0,3.28,0.57,11.8,6.0
0.45,3.0,6.0,3.13,0.63,10.4,5.0
0.54,23.0,147.0,3.26,0.59,9.7,5.0
0.915,7.0,23.0,3.35,0.65,10.2,7.0
0.32,16.0,37.0,3.22,0.78,10.0,6.0
1.09,12.0,31.0,3.51,0.43,11.4,4.0
0.62,5.0,12.0,3.17,0.48,9.8,5.0
0.56,17.0,65.0,3.33,0.6,10.5,6.0
0.785,14.0,30.0,3.52,0.55,10.7,6.0
0.38,33.0,85.0,3.39,0.77,11.4,6.0
0.61,8.0,25.0,3.69,0.73,10.5,5.0
0.705,13.0,28.0,3.6,0.66,10.2,5.0
0.23,3.0,8.0,3.14,0.7,9.9,6.0
0.36,9.0,23.0,3.23,0.76,12.0,6.0
0.52,32.0,69.0,2.74,2.0,9.4,4.0
0.52,5.0,20.0,3.32,0.81,9.6,6.0
0.56,16.0,44.0,3.13,0.52,11.0,5.0
0.4,15.0,40.0,3.22,0.6,12.2,6.0
0.38,6.0,10.0,3.12,0.65,11.8,7.0
0.34,5.0,13.0,3.22,0.62,9.2,5.0
0.36,3.0,8.0,3.2,0.53,11.9,6.0
0.59,14.0,47.0,3.3,0.56,9.6,4.0
0.68,21.0,94.0,3.54,0.52,10.0,5.0
0.29,9.0,30.0,3.41,0.53,9.5,6.0
0.46,4.0,17.0,3.13,0.7,10.2,5.0
0.51,4.0,9.0,3.35,0.54,10.5,5.0
0.725,4.0,11.0,3.41,0.39,10.9,5.0
1.02,26.0,88.0,3.08,0.57,10.1,6.0
0.25,19.0,49.0,3.4,0.76,10.9,7.0
0.46,7.0,11.0,3.61,0.54,11.4,5.0
0.54,24.0,66.0,3.39,0.61,9.4,5.0
0.41,9.0,42.0,3.54,0.66,10.5,5.0
0.31,36.0,127.0,2.94,1.62,9.5,5.0
0.965,16.0,32.0,3.58,0.67,10.2,5.0
0.6,7.0,13.0,3.38,0.56,10.8,5.0
0.47,18.0,38.0,3.3,0.65,9.6,6.0
0.63,11.0,37.0,3.43,0.76,9.7,6.0
0.68,9.0,23.0,3.38,0.6,10.3,5.0
0.61,36.0,60.0,3.1,0.4,9.3,5.0
0.55,10.0,28.0,3.45,0.78,9.5,6.0
0.25,22.0,50.0,3.38,0.6,11.9,6.0
0.685,16.0,23.0,3.32,0.47,9.4,5.0
0.46,24.0,64.0,3.1,0.74,9.6,5.0
0.43,29.0,129.0,3.42,0.72,10.5,5.0
0.42,19.0,43.0,3.02,0.61,9.5,5.0
